Category,Consumers Count,Total Expenditures,Total Authorized Services,Per Capita Expenditures,Per Capita Authorized Services,Utilized,Regional Center,Sheet Name,Title,Age Category,Total Eligible Consumers,Consumers Receiving Purchased Services,Consumers with No Purchased Services,Percent With No Purchased Services
Transient/Homeless,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals Check,14.0,37923.0,96839.0,2708.76571428571,6917.05071428572,0.391607034,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals,14.0,37923.0,96839.0,2708.76571428571,6917.05071428572,0.391607034,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Acute General Hospital,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Correctional Institution,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
"Community Treatment
Facility",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
"Developmental Center/State
Hospital",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
"Family Home, Adults",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
"Foster Home, Children",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Hospice,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
ICF Facility,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
"Independent Living or
Supported Living",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Out-of-state,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Other,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Home of Parent or Guardian,32.0,14654.0,24853.0,457.9403125,776.6703125,0.5896199522,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Psychiatric Treatment Facility,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Rehabilitation Center,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Skilled Nursing Facility (SNF),0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Sub-Acute,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Transient/Homeless,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Totals Check,32.0,14654.0,24853.0,457.9403125,776.6703125,0.5896199522,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Totals,32.0,14654.0,24853.0,457.9403125,776.6703125,0.5896199522,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Acute General Hospital,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
CCF,,,,0.0,35.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Correctional Institution,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
"Community Treatment
Facility",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
"Developmental Center/State
Hospital",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
"Family Home, Adults",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
"Foster Home, Children",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Hospice,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
ICF Facility,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
"Independent Living or
Supported Living",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Out-of-state,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Other,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Home of Parent or Guardian,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Psychiatric Treatment Facility,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Rehabilitation Center,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Skilled Nursing Facility (SNF),0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Sub-Acute,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Transient/Homeless,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Totals Check,0.0,0.0,0.0,0.0,35.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Totals,,,,0.0,35.0,0.0,Alta California,InsxRes,Residence: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Autism,34.0,21082.0,35488.0,620.045882352941,1043.75558823529,0.5940527546,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Category 5,,,,878.35,878.35,1.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual
Disability",,,,0.0,22.5,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Other,11.0,29739.0,84508.0,2703.50454545455,7682.52454545455,0.3519031445,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals Check,45.0,50821.0,119996.0,4201.900427807492,9627.13013368984,1.9459558990999999,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals,49.0,52577.0,121797.0,1072.99612244898,2485.65632653061,0.4316751721,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism,,,,2011.154,2980.128,0.6748549056,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual
Disability",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Other,,,,3096.32777777778,9104.23,0.3400977104,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals Check,0.0,0.0,0.0,5107.48177777778,12084.358,1.014952616,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals,14.0,37923.0,96839.0,2708.76571428571,6917.05071428572,0.391607034,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism,28.0,11026.0,20527.0,393.778214285714,733.108928571429,0.5371346589,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Category 5,,,,878.35,878.35,1.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
"Intellectual
Disability",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Other,,,,935.8,1284.85,0.7283340468,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Totals Check,28.0,11026.0,20527.0,2207.9282142857137,2896.308928571429,2.2654687057,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Totals,32.0,14654.0,24853.0,457.9403125,776.6703125,0.5896199522,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,"For age 3 years to 21 years, inclusive",,,,
Autism,,,,0.0,60.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
"Intellectual
Disability",,,,0.0,22.5,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Other,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Totals Check,0.0,0.0,0.0,0.0,82.5,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Totals,,,,0.0,35.0,0.0,Alta California,InsxDx-Sum,Diagnosis-Summary: Total Annual Insurance-Related Expenditures ,For age 22 years and older,,,,
Autism,24.0,17573.0,28213.0,732.19,1175.54833333333,0.6228497623,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Intellectual Disability,,,,125.0,155.0,0.8064516129,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Cerebral Palsy & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Cerebral Palsy & Epilepsy &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Cerebral Palsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Epilepsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Category 5,,,,407.375,870.56625,0.4679425604,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability,,,,0.0,30.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability & Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Cerebral Palsy
& Epilepsy",,,,0.0,15.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Cerebral Palsy
& Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Cerebral Palsy
& Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Epilepsy &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy & Epilepsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Epilepsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Category 5,,,,878.35,878.35,1.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
No Diagnosis,11.0,29739.0,84508.0,2703.50454545455,7682.52454545455,0.3519031445,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals Check,35.0,47312.0,112721.0,4846.41954545455,10806.989128787882,3.2491470801,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals,49.0,52577.0,121797.0,1072.99612244898,2485.65632653061,0.4316751721,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism,,,,2301.4425,3281.41,0.7013578005,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Intellectual Disability,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Cerebral Palsy & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Cerebral Palsy & Epilepsy &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Cerebral Palsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Epilepsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Category 5,,,,850.0,1775.0,0.4788732394,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability & Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Cerebral Palsy
& Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Cerebral Palsy
& Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Cerebral Palsy
& Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Intellectual Disability & Epilepsy &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Intellectual Disability & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy & Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy & Epilepsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Cerebral Palsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Epilepsy & Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Epilepsy,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Category 5,0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
No Diagnosis,,,,3096.32777777778,9104.23,0.3400977104,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals Check,0.0,0.0,0.0,6247.7702777777795,14160.64,1.5203287503,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Totals,14.0,37923.0,96839.0,2708.76571428571,6917.05071428572,0.391607034,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism,20.0,8367.0,15088.0,418.3395,754.376,0.5545503834,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
Autism & Intellectual Disability,,,,250.0,250.0,1.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Cerebral Palsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Epilepsy & Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Epilepsy",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
"Autism & Intellectual Disability &
Category 5",0.0,0.0,0.0,0.0,0.0,0.0,Alta California,InsxDxCombo,Diagnosis - Expanded: Total Annual Insurance-Related Expenditures ,All Ages,,,,
